,0
0,0.361912
1,0.6418187
2,0.1538854
3,0.469237
4,0.36218423
5,0.10875192
6,0.03230232
7,0.60637844
8,0.23071143
9,0.32857794
10,0.39670843
11,0.7095245
12,0.3722571
13,0.07282418
14,0.18457088
15,0.5892693
16,0.77969986
17,0.334063
18,0.37844002
19,0.17466328
20,0.25559518
21,0.7178984
22,0.44229466
23,0.075294524
24,0.27407694
25,0.39189464
26,0.19651085
27,0.93501645
28,0.65960383
29,0.9959306
30,0.43078017
31,0.4422534
32,0.70336163
33,0.055672646
34,0.3389197
35,0.55505735
36,0.98942214
37,0.89539236
38,0.89215106
39,0.6235744
40,0.783759
41,0.025215715
42,0.07656646
43,0.6441944
44,0.6326014
45,0.6322872
46,0.69608516
47,0.293707
48,0.31857547
49,0.4272562
50,0.0320023
51,0.5701544
52,0.46695292
53,0.41874155
54,0.76902336
55,0.8234606
56,0.90384084
57,0.10416579
58,0.23737687
59,0.7799181
60,0.6117387
61,0.7394715
62,0.44410914
63,0.8303288
64,0.5505387
65,0.23287982
66,0.5010369
67,0.16430268
68,0.21091175
69,0.39004266
70,0.8403386
71,0.33540195
72,0.083245546
73,0.30860734
74,0.21948126
75,0.8735283
76,0.24869832
77,0.60783404
78,0.566518
79,0.039859265
80,0.71465135
81,0.39680183
82,0.8873061
83,0.10051951
84,0.3581319
85,0.66275567
86,0.5068406
87,0.9905255
88,0.5864132
89,0.9138118
90,0.67135435
91,0.07623032
92,0.28992838
93,0.41398305
94,0.6371081
95,0.61573046
96,0.029319316
97,0.87382203
98,0.14494798
99,0.12573946
100,0.709176
101,0.9630718
102,0.57143366
103,0.20807669
104,0.30782965
105,0.93382573
106,0.7189348
107,0.45926353
108,0.5903423
109,0.20449254
110,0.20815077
111,0.66493374
112,0.7341378
113,0.5012847
114,0.897074
115,0.587971
116,0.6902936
117,0.37578052
118,0.66551036
119,0.08597013
120,0.21566975
121,0.51307464
122,0.9964396
123,0.9903972
124,0.58037287
125,0.7777871
126,0.8107291
127,0.5633987
128,0.67024404
129,0.31127292
130,0.21615392
131,0.92177296
132,0.36718827
133,0.96982086
134,0.06839743
135,0.40546232
136,0.33997983
137,0.9876791
138,0.18568176
139,0.16460976
140,0.1855036
141,0.9785569
142,0.8510531
143,0.49212128
144,0.22978005
145,0.82900727
146,0.8653583
147,0.7210548
148,0.7835357
149,0.8739147
150,0.97473884
151,0.72532976
152,0.06843674
153,0.3732018
154,0.6377056
155,0.23746634
156,0.87428665
157,0.053376496
158,0.8813391
159,0.60406995
160,0.8300325
161,0.17807487
162,0.86547947
163,0.46952376
164,0.7186379
165,0.76617837
166,0.26182464
167,0.3521096
168,0.957767
169,0.68352795
170,0.15268198
171,0.8739526
172,0.32594705
173,0.5993473
174,0.5972026
175,0.77263224
176,0.9346121
177,0.6630601
178,0.2063472
179,0.87391376
180,0.82572037
181,0.44913754
182,0.5832297
183,0.7819411
184,0.46997085
185,0.23775682
186,0.03065008
187,0.49230984
188,0.5225754
189,0.9222951
190,0.7530148
191,0.6539516
192,0.56665623
193,0.92104226
194,0.04026878
195,0.8973118
196,0.94574046
197,0.16532248
198,0.85705054
199,0.70794666
200,0.20156759
201,0.36122486
202,0.29480058
203,0.58592737
204,0.20697281
205,0.14771852
206,0.019409359
207,0.36014235
208,0.099781364
209,0.115561396
210,0.12777382
211,0.9316573
212,0.5934528
213,0.0037150383
214,0.66404426
215,0.39878535
216,0.06461194
217,0.25415656
218,0.97936517
219,0.903221
220,0.009482801
221,0.5061101
222,0.62029105
223,0.13660109
224,0.4939146
225,0.6638985
226,0.08772653
227,0.1942026
228,0.7718456
229,0.71252143
230,0.12713417
231,0.9307167
232,0.8335128
233,0.72254914
234,0.18563452
235,0.4779055
236,0.89382875
237,0.7586107
238,0.5780498
239,0.26852438
240,0.44852713
241,0.9621751
242,0.97607696
243,0.47320235
244,0.6957811
245,0.01913482
246,0.18813118
247,0.6062097
248,0.7585745
249,0.77126586
250,0.081487924
251,0.7002761
252,0.57458526
253,0.7776206
254,0.7177083
255,0.19516513
256,0.43636554
257,0.0004541278
258,0.87066793
259,0.2903388
260,0.20938632
261,0.9929
262,0.038448036
263,0.14738575
264,0.5692503
265,0.9215093
266,0.74017215
267,0.12902448
268,0.34881902
269,0.7704556
270,0.8012829
271,0.9366165
272,0.85706645
273,0.35546896
274,0.40214503
275,0.2919801
276,0.8370708
277,0.5200131
278,0.94215155
279,0.43936703
280,0.2648622
281,0.45600408
282,0.25970688
283,0.6236638
284,0.79011774
285,0.9998741
286,0.2316798
287,0.81940407
288,0.67726165
289,0.60708237
290,0.47162244
291,0.06843582
292,0.53271157
293,0.097666174
294,0.1154252
295,0.8150075
296,0.072196364
297,0.86291635
298,0.7243745
299,0.5143623
300,0.25124377
301,0.014180005
302,0.32735524
303,0.40809375
304,0.99040806
305,0.055978328
306,0.5017885
307,0.6161439
308,0.3504556
309,0.28389025
310,0.75483274
311,0.21408531
312,0.26147062
313,0.43085936
314,0.91704
315,0.22299898
316,0.16250712
317,0.0895085
318,0.10050422
319,0.98613167
320,0.18700796
321,0.36689225
322,0.57755595
323,0.28713638
324,0.22949386
325,0.7960776
326,0.34230933
327,0.6758276
328,0.094276994
329,0.92839754
330,0.6110509
331,0.49143845
332,0.50962305
333,0.45162177
334,0.52124375
335,0.33763322
336,0.88474727
337,0.024452806
338,0.8809783
339,0.41958255
340,0.124320626
341,0.7261227
342,0.8009118
343,0.8493376
344,0.005877316
345,0.27284008
346,0.571532
347,0.50251734
348,0.65517426
349,0.132251
350,0.109809965
351,0.5017687
352,0.18175206
353,0.86667633
354,0.6373036
355,0.31692347
356,0.59109926
357,0.8135903
358,0.4233735
359,0.30753294
360,0.15456852
361,0.02846554
362,0.57178205
363,0.5645988
364,0.112698436
365,0.6796527
366,0.08565912
367,0.5398867
368,0.39599496
369,0.26095653
370,0.73150975
371,0.016818076
372,0.484832
373,0.6091398
374,0.096098065
375,0.24580318
376,0.059663624
377,0.34540236
378,0.77940184
379,0.54202336
380,0.84119487
381,0.9771496
382,0.20760548
383,0.2822148
384,0.90666366
385,0.818385
386,0.8211394
387,0.08162436
388,0.14029047
389,0.26138377
390,0.5405102
391,0.074038714
392,0.7995322
393,0.27712595
394,0.17128906
395,0.097646594
396,0.4248498
397,0.7458733
398,0.9580769
399,0.38218367
400,0.4803945
401,0.78500235
402,0.86634296
403,0.12982887
404,0.5411095
405,0.6070081
406,0.30473852
407,0.36979377
408,0.005563438
409,0.3964299
410,0.05279389
411,0.6546705
412,0.60060406
413,0.5957178
414,0.5668552
415,0.2881642
416,0.08090544
417,0.017649412
418,0.053194582
419,0.16673473
420,0.08208975
421,0.20010132
422,0.5024328
423,0.9180002
424,0.40770507
425,0.7588185
426,0.7254307
427,0.27247
428,0.38395882
429,0.7614894
430,0.28131583
431,0.5505742
432,0.31856626
433,0.50951254
434,0.34312558
435,0.59652585
436,9.575486e-05
437,0.4205156
438,0.47296652
439,0.5595468
440,0.47810772
441,0.71673054
442,0.35362363
443,0.89210224
444,0.112342656
445,0.5584977
446,0.5274902
447,0.13168702
448,0.24672213
449,0.06233707
450,0.5268266
451,0.90420425
452,0.7004272
453,0.028246671
454,0.68075764
455,0.877967
456,0.10048485
457,0.28250644
458,0.47682515
459,0.62852216
460,0.5079516
461,0.8898783
462,0.46656594
463,0.89127386
464,0.89703256
465,0.10379106
466,0.810448
467,0.2492584
468,0.5478421
469,0.06236905
470,0.85504425
471,0.058291852
472,0.60231364
473,0.04675767
474,0.8016952
475,0.7972957
476,0.08510128
