657,643,642,676,661,421,496,332,375,412,728,703,687,724,697
131,134,120,132,113,205,223,203,213,226,62,75,56,87,48
22,13,19,19,23,36,32,29,26,32,96,89,85,102,95
2,0,3,4,1,9,13,5,10,10,36,41,31,38,28
1,5,0,2,1,2,5,4,4,5,24,10,10,10,22
1,0,2,1,1,1,3,2,1,2,6,12,10,13,12
2,0,0,0,0,1,1,0,1,0,8,7,5,4,2
5,0,0,0,0,1,1,1,1,3,4,5,1,5,3
1,0,1,0,0,0,0,0,0,2,7,9,6,8,1
0,0,0,0,1,0,1,1,0,0,6,5,2,4,9
1,1,2,2,0,0,1,0,0,0,2,3,5,7,3
0,3,3,2,0,1,3,0,1,3,6,2,1,0,0
0,4,0,0,1,1,1,1,0,1,2,1,5,1,2
3,1,0,3,1,1,0,0,1,0,0,2,4,2,5
1,2,6,1,1,0,0,0,0,3,7,1,4,2,2
0,0,2,3,0,0,1,0,2,1,2,5,1,2,3
0,2,0,0,0,0,2,0,0,1,3,4,3,4,4
0,1,1,0,1,1,2,1,1,2,1,8,1,3,3
1,4,1,0,2,1,1,1,1,0,3,0,2,2,1
0,1,2,3,8,0,0,1,2,1,3,4,5,3,3
0,3,0,2,0,2,0,0,1,1,3,1,1,2,1
4,0,1,1,1,0,2,0,1,1,2,3,2,2,0
1,3,1,1,2,1,0,1,0,0,3,2,0,3,4
1,3,3,0,9,0,0,1,0,1,0,1,3,1,2
1,0,0,0,1,1,0,0,1,2,5,6,0,2,0
2,3,1,1,0,1,0,2,0,1,2,4,4,5,1
1,0,1,2,0,0,2,0,1,0,5,1,2,2,1
1,0,0,1,2,1,2,3,0,1,3,1,2,1,4
0,0,3,0,1,1,1,0,1,5,2,3,2,0,4
2,0,2,3,0,0,0,2,0,0,1,1,1,2,2
3,2,1,0,1,2,0,1,0,1,9,1,0,1,3
0,0,0,2,4,0,1,2,0,0,0,5,0,4,2
1,0,0,1,1,2,0,0,0,1,3,2,2,1,3
1,1,0,1,0,1,0,1,0,1,2,1,4,0,3
0,1,0,0,1,0,1,0,0,0,1,2,0,2,4
0,0,2,0,0,0,0,0,0,2,1,1,1,4,1
1,0,2,1,0,0,1,0,0,0,1,2,3,2,0
0,0,3,1,2,1,0,0,0,0,1,5,3,2,4
3,0,0,0,1,0,2,0,1,0,2,3,3,1,5
0,0,1,1,0,0,3,1,0,4,1,1,2,1,0
2,0,0,2,1,0,1,0,1,1,1,0,1,1,2
1,3,0,3,0,1,1,1,2,0,0,1,2,4,0
0,0,1,0,2,1,3,0,1,1,1,3,0,0,2
2,5,0,2,0,1,1,2,0,2,4,3,0,2,0
1,3,0,2,0,1,1,1,0,0,7,3,1,0,1
0,1,1,2,3,0,0,1,1,1,0,3,3,1,1
1,0,1,0,1,1,0,2,0,0,0,1,2,0,4
2,1,1,1,1,0,0,0,2,0,4,1,0,1,1
1,5,0,6,0,2,2,0,2,2,2,3,2,1,0
1,1,2,0,0,0,0,0,0,0,3,0,1,2,1
1,0,0,0,0,0,0,0,0,0,0,2,1,2,2
1,0,1,0,1,1,0,2,2,1,2,2,0,3,0
3,0,0,4,1,0,0,0,0,0,1,0,1,0,1
1,4,1,0,0,2,0,0,1,0,0,2,4,2,2
1,0,4,0,1,1,0,0,0,1,0,1,1,1,2
1,0,2,0,2,0,1,1,0,0,2,0,2,3,2
0,1,1,0,1,1,0,0,1,0,0,2,1,1,1
1,0,0,0,1,1,0,2,1,0,1,1,1,0,0
2,1,1,2,0,0,2,2,0,0,0,0,2,2,0
1,0,0,0,0,3,0,0,2,1,1,0,1,1,3
1,1,1,2,0,0,1,1,1,2,0,1,0,0,1
0,0,1,2,2,0,1,0,0,0,1,0,2,1,1
2,0,2,1,0,0,0,1,0,2,0,2,1,0,0
0,1,1,1,0,0,1,0,0,3,0,2,0,0,1
0,0,1,0,3,0,0,0,1,0,0,1,2,2,1
0,4,0,0,0,1,0,2,0,1,1,0,1,0,2
0,1,0,0,1,0,0,1,1,0,1,0,4,0,0
0,0,1,1,0,2,3,3,0,0,2,1,1,0,2
0,0,1,0,3,1,0,3,0,3,2,0,0,0,1
3,1,0,1,0,0,2,0,0,0,0,0,1,1,1
0,3,0,0,3,3,1,0,0,1,2,2,0,1,2
4,2,0,0,0,0,0,1,0,0,4,1,1,1,2
1,3,3,1,0,0,3,1,2,0,2,5,0,1,3
0,3,3,1,1,0,1,2,0,0,4,2,3,0,0
0,0,0,2,2,2,2,0,0,0,1,1,0,2,1
2,0,0,0,0,0,1,0,2,0,5,1,1,1,1
1,1,0,1,0,0,2,1,1,0,0,0,1,1,0
0,0,0,0,0,2,0,1,0,0,1,0,4,2,3
2,0,3,1,1,3,1,2,0,0,1,1,1,3,2
1,0,0,0,0,2,0,2,2,1,2,2,2,3,4
1,0,1,1,0,0,0,0,2,0,0,3,1,1,0
0,0,0,0,1,3,0,0,4,1,1,0,2,2,3
0,0,0,0,0,0,2,0,0,0,1,1,0,2,1
1,4,2,8,1,1,0,2,0,1,1,0,3,2,0
0,1,1,0,1,0,2,2,2,1,4,3,2,0,3
0,1,2,5,0,2,0,0,0,0,2,1,1,0,1
0,2,0,0,1,1,0,0,0,0,0,0,0,0,1
